   Internal  Switching    Leakage      Total
      Power      Power      Power      Power
--------------------------------------------
   6.82e-07   4.61e-08   8.44e-12   7.28e-07 _15952_
   6.83e-07   4.52e-08   8.44e-12   7.28e-07 _15964_
   6.69e-07   5.84e-08   8.44e-12   7.27e-07 _16677_
   6.82e-07   4.52e-08   8.44e-12   7.27e-07 _16860_
   6.69e-07   5.81e-08   8.44e-12   7.27e-07 _16679_
   6.82e-07   4.47e-08   8.44e-12   7.27e-07 _15900_
   6.83e-07   4.34e-08   8.44e-12   7.27e-07 _15939_
   6.83e-07   4.34e-08   8.44e-12   7.26e-07 _15898_
   6.83e-07   4.34e-08   8.44e-12   7.26e-07 _15955_
   6.83e-07   4.34e-08   8.44e-12   7.26e-07 _15886_
   6.82e-07   4.34e-08   8.44e-12   7.26e-07 _15935_
   6.82e-07   4.34e-08   8.44e-12   7.26e-07 _15936_
   6.82e-07   4.34e-08   8.44e-12   7.26e-07 _15956_
   6.82e-07   4.34e-08   8.44e-12   7.26e-07 _15940_
   6.82e-07   4.34e-08   8.44e-12   7.26e-07 _15894_
